,domain_name,field_name,subfield_name,name
1866,Health Sciences,Medicine,Oncology,Chemotherapy-Induced Peripheral Neuropathy in Cancer Treatment
1883,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Molecular Mechanisms of Cardiac Remodeling and Repair
1897,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Sphingolipid Signalling and Metabolism in Health and Disease
1900,Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",The Exposome in Environmental Health Research
1923,Health Sciences,Medicine,Surgery,Cholangiocarcinoma
1924,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Wnt Signaling in Development and Disease
1925,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Mechanisms and Applications of RNA Interference
1928,Social Sciences,Social Sciences,Education,Inequality in Education: Impact of Socioeconomic Status
1932,Health Sciences,Medicine,Nephrology,Management and Outcomes of Acute Kidney Injury
1933,Social Sciences,Social Sciences,Cultural Studies,Cultural Evolution and Language Development
1950,Physical Sciences,Environmental Science,Ecology,Metabolic Theory of Ecology and Climate Change Impacts
1952,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Positron Emission Tomography Imaging in Oncology
1958,Social Sciences,Psychology,Social Psychology,Embodied Cognition and Social Interaction
1973,Health Sciences,Dentistry,Periodontics,Oral Mucosal Disorders and Malignant Transformation Risk
1985,Social Sciences,Psychology,Clinical Psychology,Borderline Personality Disorder: Psychopathology and Treatment
1994,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,Metabolic Disorders and Biochemical Genetics
2014,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Management of Delirium in Critical Care Patients
2021,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,Avian Vocal Communication and Evolutionary Implications
2035,Health Sciences,Medicine,Oncology,Role of Fibroblast Activation in Cancer Progression
2049,Health Sciences,Medicine,Surgery,Optimization of Perioperative Fluid Therapy
2050,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Prostate Cancer Research and Treatment
2058,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Classification and Management of Vasculitides
2076,Life Sciences,Neuroscience,Developmental Neuroscience,Adult Neurogenesis and Brain Development
2083,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Analysis of Cardiac and Respiratory Sounds
2134,Social Sciences,Psychology,Clinical Psychology,Mental Health of Refugees and Immigrants
2136,Health Sciences,Medicine,Physiology,Sleep-Disordered Breathing and Health Outcomes
2137,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Molecular Research on Breast Cancer
2144,Life Sciences,Immunology and Microbiology,Immunology,Role of Complement System in Immune Response
2148,Health Sciences,Medicine,Nephrology,Pathophysiology of Glomerular Diseases and Nephrotic Syndromes
2163,Health Sciences,Medicine,Pharmacology,Global Burden of Chronic Pain
2194,Health Sciences,Medicine,Pharmacology,Endocannabinoid System and Its Effects on Health
2198,Health Sciences,Health Professions,General Health Professions,Contribution of Primary Care to Health Systems and Health
2203,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,Bioavailability and Health Effects of Curcumin
2205,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,Amino Acid Transport and Metabolism in Health and Disease
2212,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Genomic Landscape of Cancer and Mutational Signatures
2219,Health Sciences,Medicine,Rehabilitation,Wound Healing and Regeneration
2220,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Management of Aortic Diseases
2225,Health Sciences,Medicine,Obstetrics and Gynecology,Impact of Gestational Diabetes Mellitus on Pregnancy
2230,Social Sciences,Arts and Humanities,History and Philosophy of Science,Mechanistic Explanation in Scientific Discovery and Evolution
2231,Health Sciences,Medicine,Surgery,Microsurgical Reconstruction Techniques
2232,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,Role of Paraoxonase Enzymes in Atherosclerosis and Oxidative Stress
2234,Health Sciences,Medicine,Surgery,Intraoperative Neurophysiological Monitoring in Surgery
2239,Health Sciences,Medicine,Hematology,Role of Erythropoietin in Disease Treatment and Management
2248,Health Sciences,Medicine,Epidemiology,Epidemiology and Pathogenesis of Pneumocystis Pneumonia
2249,Health Sciences,Medicine,Oncology,Impact of Obesity on Cancer Risk and Prognosis
2266,Health Sciences,Medicine,Rehabilitation,Therapeutic Applications of Honokiol and Magnolol Compounds
2294,Health Sciences,Dentistry,Oral Surgery,Cone-Beam Computed Tomography in Dentistry
2297,Health Sciences,Health Professions,General Health Professions,Impact of Burnout on Healthcare Professionals and Students
2304,Social Sciences,Social Sciences,Law,Judicial Politics and Legal Consciousness
2308,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Regulation of RNA Processing and Function
2310,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Magnetic Resonance Imaging Applications in Medicine
2320,Health Sciences,Health Professions,General Health Professions,Impact of COVID-19 Pandemic on Health and Society
2328,Health Sciences,Health Professions,General Health Professions,Empowerment and Collaboration in Community Health
2331,Health Sciences,Medicine,Oncology,Vascular Tumors and Angiosarcoma
2338,Physical Sciences,Materials Science,Biomaterials,Self-Assembly and Biomaterial Design
2342,Life Sciences,Neuroscience,Neurology,Cerebellar Contributions to Neurological Disorders and Functions
2350,Social Sciences,"Economics, Econometrics and Finance",Finance,Banking and Finance in Economic Systems
2352,Health Sciences,Medicine,Epidemiology,Global Epidemiology of Myopia and Visual Impairment
2359,Social Sciences,"Business, Management and Accounting",Management Information Systems,Critical Success Factors for ERP Implementation
2360,Health Sciences,Medicine,Physiology,"Sarcopenia: Definition, Diagnosis, and Implications"
2364,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Aquaporins in Physiology and Disease
2366,Health Sciences,Medicine,Nephrology,Metabolic Acidosis in Chronic Kidney Disease
2368,Social Sciences,Psychology,Experimental and Cognitive Psychology,Network Analysis of Psychopathology and Mental Disorders
2392,Physical Sciences,Computer Science,Information Systems,Expert Finding in Online Communities
2402,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,Biomedical Applications of Spectroscopy Techniques
2415,Physical Sciences,Computer Science,Artificial Intelligence,Deep Learning Applications in Healthcare
2421,Health Sciences,Medicine,Family Practice,Improving Patient Adherence to Medication Regimens
2431,Life Sciences,Immunology and Microbiology,Immunology,Role of Macrophage Migration Inhibitory Factor
2437,Health Sciences,Medicine,Surgery,Diagnosis and Treatment of Prosthetic Joint Infections
2441,Social Sciences,Social Sciences,Sociology and Political Science,Impact of Mass Incarceration on Society and Individuals
2444,Health Sciences,Medicine,Reproductive Medicine,Global Trends in Infertility and Reproductive Technologies
2448,Health Sciences,Medicine,Neurology,Neuroblastoma Research and Treatment
2454,Health Sciences,Medicine,Psychiatry and Mental health,Epidemiology and Management of Bipolar Disorder
2460,Physical Sciences,Engineering,Biomedical Engineering,Analysis of Electromyography Signal Processing
2463,Health Sciences,Medicine,Epidemiology,Global Epidemiology of HIV and Drug Use
2465,Health Sciences,Medicine,Immunology and Allergy,Allergic Rhinitis and its Impact on Asthma
2488,Health Sciences,Health Professions,Emergency Medical Services,Impact of Child Care on Infectious Diseases
2496,Health Sciences,Health Professions,Pharmacy,Infant Crying and Colic Studies
2504,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Molecular Mechanisms of Axon Guidance
2507,Life Sciences,Neuroscience,Endocrine and Autonomic Systems,Mammalian Circadian Rhythms and Physiology
2517,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,Molecular Mechanisms of Aging and Longevity
2532,Social Sciences,Psychology,Experimental and Cognitive Psychology,Evolutionary Psychology of Human Behavior and Attraction
2541,Health Sciences,Medicine,Hepatology,Diagnosis and Management of Liver Diseases
2553,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Pediatric Urinary Tract Infections
2558,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Management of Hyperkalemia in Kidney Diseases
2560,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Retinal Degeneration and Regeneration
2598,Health Sciences,Medicine,Physiology,Prevalence and Treatment of Hyperhidrosis
2599,Social Sciences,Psychology,Clinical Psychology,Impact of Parenting Stress on Caregivers and Families
2641,Physical Sciences,Environmental Science,Pollution,Microbial Bioremediation of Organic Pollutants
2642,Health Sciences,Medicine,Genetics,Molecular Pathogenesis of Myeloproliferative Disorders
2654,Life Sciences,Immunology and Microbiology,Immunology,Macrophage Activation and Polarization
2657,Health Sciences,Medicine,Surgery,Shoulder Pathology and Treatment Outcomes
2672,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Treatment of Pulmonary Hypertension
2673,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,Cryo-Electron Microscopy Techniques
2676,Social Sciences,"Business, Management and Accounting",Marketing,Consumer Behavior in Brand Consumption and Identification
2678,Physical Sciences,Physics and Astronomy,Radiation,Radiotherapy Physics and Technology
2681,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Global Burden of Group A Streptococcal Diseases
2685,Health Sciences,Medicine,Surgery,Xenotransplantation Research and Applications
2692,Physical Sciences,Engineering,Biomedical Engineering,Nanotechnology and Imaging for Cancer Therapy and Diagnosis
2694,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,Hydrogels in Biomedical Applications and Tissue Engineering
2696,Health Sciences,Medicine,Reproductive Medicine,Regulation of Puberty and Reproduction
2708,Social Sciences,Social Sciences,Political Science and International Relations,European Integration and Governance Dynamics
2717,Health Sciences,Medicine,Surgery,Surgical Interventions for Cervical Spine Disorders
2728,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Metabolism and Functions of Coenzyme Q
2739,Social Sciences,Social Sciences,Political Science and International Relations,Judicial Review in European Legal Systems
2745,Social Sciences,Social Sciences,Anthropology,Human Evolution and Behavioral Modernity
2760,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,Applications of Electroporation in Biotechnology and Food Processing
2800,Health Sciences,Medicine,Urology,Standardisation of Lower Urinary Tract Function
2806,Health Sciences,Medicine,Pathology and Forensic Medicine,Pathogenesis and Treatment of Pemphigoid Diseases
2824,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Induction and Differentiation of Pluripotent Stem Cells
2837,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Telemedicine in Global Healthcare
2838,Health Sciences,Medicine,Infectious Diseases,Tuberculosis
2846,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Impact of Pollinator Decline on Ecosystems and Agriculture
2851,Physical Sciences,Mathematics,Statistics and Probability,Development of Numerical Cognition and Mathematics Abilities
2852,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Elicitor Signal Transduction for Metabolite Production
2859,Health Sciences,Medicine,Surgery,Breast Reconstruction Techniques and Outcomes
2876,Health Sciences,Medicine,Hematology,Management and Treatment of Hemophilia
2917,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Fibroblast Growth Factor Signaling Pathway
2930,Health Sciences,Medicine,Dermatology,Classification and Treatment of Cutaneous Lymphomas
2931,Health Sciences,Medicine,Orthopedics and Sports Medicine,Epidemiology of Sports-Related Musculoskeletal Injuries
2986,Physical Sciences,Computer Science,Artificial Intelligence,Neural Network Fundamentals and Applications
2989,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Role of Perivascular Adipose Tissue in Cardiovascular Health
2994,Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,Global Burden of Antimicrobial Resistance
2999,Health Sciences,Medicine,Surgery,Classification and Treatment of Vascular Anomalies
3003,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Impact of Assisted Reproductive Technology on Perinatal Outcomes
3019,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,Dynamics and Pathogenesis of Cholera Bacteria
3025,Health Sciences,Medicine,Hematology,Platelet Disorders and Thrombosis Mechanisms
3039,Health Sciences,Health Professions,General Health Professions,Impact of Food Insecurity on Health Outcomes
3084,Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",Risk Analysis and Management
3100,Physical Sciences,Chemistry,Organic Chemistry,Catalytic C-H Amination Reactions
3108,Health Sciences,Medicine,Surgery,Management of Postoperative Pain and Complications
3111,Social Sciences,"Business, Management and Accounting",Strategy and Management,International Business Strategy in Emerging Economies
3112,Life Sciences,Neuroscience,Cognitive Neuroscience,Neurobiological Mechanisms of Placebo and Nocebo Effects
3124,Physical Sciences,Mathematics,Statistics and Probability,Regularization and Variable Selection Methods
3150,Health Sciences,Medicine,Geriatrics and Gerontology,Polypharmacy and Inappropriate Medication Use in Elderly
3156,Social Sciences,Social Sciences,Sociology and Political Science,Intergroup Relations and Social Identity Theories
3167,Physical Sciences,Engineering,Biomedical Engineering,Wearable Nanogenerator Technology
3168,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Nucleotide Metabolism and Enzyme Regulation
3200,Life Sciences,Neuroscience,Endocrine and Autonomic Systems,Neuroendocrine Regulation of Appetite and Body Weight
3201,Health Sciences,Medicine,Surgery,Innovations in Transgastric Surgical Techniques
3222,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Regulation of Bone Mineralization and Alkaline Phosphatase
3238,Health Sciences,Medicine,Oncology,Management of Febrile Neutropenia in Cancer Patients
3259,Physical Sciences,Computer Science,Artificial Intelligence,Automated Detection of Hate Speech and Offensive Language
3279,Life Sciences,Neuroscience,Cognitive Neuroscience,Neural Mechanisms of Auditory Processing and Perception
3283,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"S100 Proteins: Structure, Function, and Pathology"
3296,Health Sciences,Medicine,Neurology,Autoimmune Encephalitis: Clinical Characteristics and Management
3309,Life Sciences,Agricultural and Biological Sciences,Food Science,Analysis of Pesticide Residues in Food
3323,Health Sciences,Medicine,Epidemiology,Management and Epidemiology of Infective Endocarditis
3328,Social Sciences,Social Sciences,Sociology and Political Science,Addressing Racial and Ethnic Disparities in Healthcare through Cultural Competence
3335,Social Sciences,Social Sciences,Sociology and Political Science,Impact of Social Media on Consumer Behavior
3358,Physical Sciences,Environmental Science,Ecology,Ecology and Conservation of Marine Mammals
3391,Health Sciences,Medicine,Oncology,Colorectal Cancer Research and Treatment
3393,Life Sciences,Agricultural and Biological Sciences,Plant Science,Molecular Mechanisms of Plant Development and Regulation
3396,Health Sciences,Health Professions,General Health Professions,Moral Distress in Healthcare Professionals
3397,Health Sciences,Medicine,Nephrology,Chronic Kidney Disease and its Implications
3399,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,Electron Spin Resonance in Biomolecular Studies
3405,Health Sciences,Medicine,Emergency Medicine,Impact of HIV Infection on Cardiovascular Health
3421,Physical Sciences,Environmental Science,Environmental Chemistry,Harmful Algal Blooms and Marine Toxins
3450,Life Sciences,Neuroscience,Cognitive Neuroscience,Neural Mechanisms of Face Perception and Recognition
3452,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Child Abuse and Traumatic Brain Injury
3455,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Particle Therapy for Cancer Treatment
3456,Health Sciences,Medicine,Surgery,Management of Rib Fractures in Trauma Patients
3460,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,Microbial Identification and Diagnosis
3464,Health Sciences,Medicine,Surgery,Salivary Gland Tumors and Carcinomas
3481,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Menstrual Health and Disorders
3490,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Evolutionary Ecology of Animal Behavior and Traits
3504,Health Sciences,Nursing,Nutrition and Dietetics,Role of Omega-3 Fatty Acids in Health
3515,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genetic and Pathogenic Study of Plague Bacteria
3520,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Management of Hypertrophic Cardiomyopathy
3522,Physical Sciences,Materials Science,Biomaterials,Electrospun Nanofibers in Biomedical Applications
3531,Health Sciences,Medicine,Epidemiology,Epidemiology of Multiple Primary Cancers
3555,Life Sciences,Agricultural and Biological Sciences,Insect Science,Impact of Pesticides on Honey Bee Health
3565,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,Pharmacological Effects of Licorice Roots
3605,Social Sciences,Psychology,Developmental and Educational Psychology,Development of Personal Epistemological Beliefs
3608,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Idiopathic Pulmonary Fibrosis: Diagnosis and Management
3614,Health Sciences,Medicine,Pathology and Forensic Medicine,Molecular Characterization of Colorectal Cancer
3657,Life Sciences,Immunology and Microbiology,Immunology,Invertebrate Immunity and Host Defense Mechanisms
3662,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Bacterial Biofilms and Quorum Sensing Mechanisms
3682,Social Sciences,Social Sciences,Gender Studies,Gender Diversity and Leadership in Organizations
3684,Life Sciences,Agricultural and Biological Sciences,Soil Science,Soil Carbon Dynamics and Nutrient Cycling in Ecosystems
3685,Physical Sciences,Computer Science,Information Systems,Web Data Extraction and Crawling Techniques
3762,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genomic Insights into Social Insects and Symbiosis
3766,Social Sciences,Psychology,Clinical Psychology,Obsessive-Compulsive Disorder and Related Conditions
3768,Health Sciences,Medicine,Epidemiology,Hepatitis B Infection and Treatment
3779,Health Sciences,Medicine,Surgery,Anterior Cruciate Ligament Injuries in Athletes
3796,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Ethical Considerations in Medical Research Participation
3818,Life Sciences,Agricultural and Biological Sciences,Insect Science,Insect Symbiosis and Microbial Interactions
3822,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Pathobiology and Management of Mucositis in Cancer Therapy
3825,Physical Sciences,Chemistry,Organic Chemistry,Transition Metal-Catalyzed Cross-Coupling Reactions
3836,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Chaperones in Protein Folding and Disease
3852,Physical Sciences,Computer Science,Computational Theory and Mathematics,Computational Methods in Drug Discovery
3874,Physical Sciences,Environmental Science,Global and Planetary Change,Impacts of Climate Change on Marine Fisheries
3884,Health Sciences,Medicine,Epidemiology,Paramyxovirus Infections and Epidemiology
3885,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Diagnosis and Management of Pituitary Disorders
3896,Social Sciences,Psychology,Social Psychology,Bullying Behaviors and Psychological Impact
3931,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Bacterial Physiology and Genetics
3942,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Zebrafish as a Model Organism for Multidisciplinary Research
3973,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Promotion and Disease Reduction in Cardiovascular Health
3978,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Potential of Ayurvedic Medicine
3999,Health Sciences,Medicine,Epidemiology,Epidemiology and Causes of Preterm Birth
4004,Social Sciences,Social Sciences,Sociology and Political Science,Community Resilience to Natural Disasters
4035,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Impact of Oil Price Shocks on Economy
4043,Health Sciences,Medicine,Neurology,Diagnosis and Management of Cerebral Vein Thrombosis
4054,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Neuroscience and Genetics of Drosophila Melanogaster
4061,Social Sciences,Social Sciences,Health,Intimate Partner Violence and Health Consequences
4064,Health Sciences,Medicine,Surgery,Pathogenesis and Management of Biliary Atresia
4086,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Congenital Coronary Artery Anomalies and Their Management
4127,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Challenges and Opportunities in Translational Research
4179,Health Sciences,Medicine,Dermatology,Cutaneous Manifestations of COVID-19: A Comprehensive Review
4217,Health Sciences,Medicine,Surgery,Treatment and Management of Anal Cancer
4219,Physical Sciences,Materials Science,Polymers and Plastics,Conducting Polymer Research
4229,Health Sciences,Medicine,Surgery,Complications and Techniques in Thyroid Surgery
4256,Health Sciences,Medicine,Rheumatology,Role of Homocysteine in Health and Disease
4271,Social Sciences,Arts and Humanities,Philosophy,Philosophical Perspectives on Health and Psychiatry
4394,Health Sciences,Medicine,Emergency Medicine,Emergency Department Crowding
4395,Health Sciences,Nursing,Nutrition and Dietetics,Copper and Zinc in Health and Disease
4411,Health Sciences,Medicine,Physiology,Physiological Responses to Heat Stress in Humans
4416,Health Sciences,Medicine,Surgery,Preoperative Chemoradiotherapy for Esophageal Cancer
4419,Health Sciences,Medicine,Reproductive Medicine,Genomic Studies and Treatment of Ovarian Carcinoma
4420,Health Sciences,Medicine,Oncology,Inflammation's Role in Cancer Development and Progression
4451,Life Sciences,Immunology and Microbiology,Virology,Epidemiology and Pathobiology of Monkeypox Virus Infection
4454,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Cell Mechanics and Extracellular Matrix Interactions
4476,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Atomic Force Microscopy Techniques
4501,Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",Methods for Evidence Synthesis in Research
4502,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,Role of Fluorine in Medicinal Chemistry and Pharmaceuticals
4521,Social Sciences,Social Sciences,Sociology and Political Science,Global Impact of Sex Work and Trafficking
4523,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,Listeria Monocytogenes Pathogenesis and Food Safety
4573,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Mammalian MAP Kinase Signaling Pathways
4574,Health Sciences,Medicine,Dermatology,Treatment and Pathogenesis of Hidradenitis Suppurativa
4590,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Integration of Palliative Care in End-of-Life
4591,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Kidney Development and Disease
4618,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Role of Histone Deacetylases in Cellular Regulation
4685,Social Sciences,"Business, Management and Accounting",Marketing,The Impact of Sharing Economy on Consumption
4686,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Magnetic Skyrmions and Spintronics
4707,Social Sciences,Social Sciences,Political Science and International Relations,Impact of Procedural Justice on Police Legitimacy
4732,Health Sciences,Medicine,Neurology,Pathophysiology and Management of Cerebral Aneurysms
4735,Life Sciences,Neuroscience,Sensory Systems,Cochlear Neuropathy and Hearing Loss Mechanisms
4768,Health Sciences,Health Professions,Speech and Hearing,Supporting Health Care Transition from Adolescence to Adulthood
4778,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Renal Cell Carcinoma
4788,Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,Atmospheric Aerosols and their Impacts
4792,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Analysis and Applications of Heart Rate Variability
4831,Health Sciences,Health Professions,Health Information Management,Accuracy of Clinical Coding in Healthcare Data
4854,Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,Star Formation in Molecular Clouds and Protoplanetary Disks
4861,Health Sciences,Medicine,Complementary and alternative medicine,Herbal Medicine Use and Safety Monitoring
4865,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Biological Activities of Triterpenoids and Saponins
4871,Health Sciences,Medicine,Oncology,HER2 Signaling in Breast Cancer Treatment
4881,Health Sciences,Medicine,Epidemiology,Human Papillomavirus and Cervical Cancer Epidemiology
4916,Health Sciences,Medicine,Psychiatry and Mental health,Interoception and Somatic Symptoms
4923,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Advancements in Prostate Cancer Research
4961,Health Sciences,Medicine,Pharmacology,Pharmacological Management of Obesity
4966,Health Sciences,Medicine,Ophthalmology,Epidemiology and Management of Ocular Inflammatory Diseases
4974,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Applications of Deep Learning in Medical Imaging
4975,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Calcineurin-NFAT Signaling in Transcriptional Regulation
5003,Health Sciences,Medicine,Pathology and Forensic Medicine,Pathophysiology and Management of Graves' Ophthalmopathy
5037,Social Sciences,Social Sciences,Sociology and Political Science,Risk Perception and Communication in Society
5039,Physical Sciences,Computer Science,Computer Science Applications,Innovation and Collaboration in Open Source Community
5064,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Management of Hyponatremia
5067,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Biology and Pathology of Keratins and Related Disorders
5079,Health Sciences,Medicine,Ophthalmology,Cataract Surgery Techniques and Complications
5140,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Diagnosis and Treatment of Retinopathy of Prematurity
5144,Health Sciences,Medicine,Hematology,Thrombosis and Coagulation Disorders
5152,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Biomedical Optical Imaging and Spectroscopy
5164,Physical Sciences,Earth and Planetary Sciences,Oceanography,Marine Biogeochemistry and Ecosystem Dynamics
5165,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Blood Rheology and Coagulation Mechanisms
5167,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Semiconductor Spintronics and Quantum Computing
5173,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Malignant Pleural Mesothelioma Research
5174,Social Sciences,Psychology,Developmental and Educational Psychology,Language Development and Acquisition in Children
5175,Life Sciences,Neuroscience,Neurology,Neurodegeneration with Brain Iron Accumulation
5212,Life Sciences,Agricultural and Biological Sciences,Food Science,Formation and Application of Food Nanoemulsions
5217,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Biogenesis and Functions of Circular RNAs
5245,Health Sciences,Medicine,Health Informatics,Artificial Intelligence in Medicine
5278,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Computational Modeling of Visual Saliency Detection
5279,Physical Sciences,Computer Science,Artificial Intelligence,Application of Fuzzy Cognitive Maps in Modeling
5305,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Protein Structure Prediction and Analysis
5357,Physical Sciences,Engineering,Biomedical Engineering,Application of 3D Printing in Medical Anatomy Education
5366,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Lipid Metabolism in Cancer Pathogenesis
5383,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Diagnosis and Management of Carpal Tunnel Syndrome
5482,Physical Sciences,Environmental Science,Global and Planetary Change,Impact of Climate Change on Forest Wildfires
5485,Health Sciences,Nursing,Nutrition and Dietetics,Role of Selenium in Human Health and Disease
5496,Health Sciences,Medicine,Surgery,Diagnosis and Management of Pancreatitis
5517,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Amyloidosis
5527,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuroscience and Education: Bridging Research and Practice
5550,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Role of AMP-Activated Protein Kinase in Cellular Metabolism
5596,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Role of Sigma Receptors in Cellular Signaling
5606,Health Sciences,Medicine,Epidemiology,"Breastfeeding: Epidemiology, Mechanisms, and Health Outcomes"
5609,Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,Agricultural Innovation and Livelihood Diversification
