,author_name,bin,domain_name,first_author,author_corresponding,counts,work_citedby,Summary_Country,Summary_Institution
15870,Eric A. Ortlund,6,Physical Sciences,0,0,3,0,,
15871,Eric B. Dammer,2,Health Sciences,0,0,2,502,,
15872,Eric B. Dammer,2,Life Sciences,2,0,3,177,,
15873,Eric B. Dammer,3,Health Sciences,0,0,7,616,,Institute for Neurodegenerative Disorders:1;
15874,Eric B. Dammer,3,Life Sciences,3,0,13,746,,
15875,Eric B. Dammer,3,Physical Sciences,0,0,1,1,,
15876,Eric B. Dammer,4,Health Sciences,1,0,14,1251,,Boston University:1;
15877,Eric B. Dammer,4,Life Sciences,2,0,11,705,,
15878,Eric B. Dammer,4,Social Sciences,0,0,1,97,,
15879,Eric B. Dammer,5,Health Sciences,0,0,34,1936,,
15880,Eric B. Dammer,5,Life Sciences,0,2,39,1612,,
15881,Eric B. Dammer,5,Physical Sciences,0,0,5,0,CN:1;,Chinese Academy of Medical Sciences & Peking Union Medical College:1;
15882,Eric B. Dammer,6,Health Sciences,4,1,66,794,ES:1;,Fundació ACE:1;
15883,Eric B. Dammer,6,Life Sciences,0,0,34,609,CA:1;,Institute for Neurodegenerative Disorders:1;Université de Montréal:1;
15884,Eric B. Dammer,6,Physical Sciences,0,0,2,13,CN:1;,Beijing Proteome Research Center:1;
15885,Eric B. Friedberg,4,Health Sciences,0,0,3,14,,Emory Johns Creek Hospital:2;
15886,Eric B. Friedberg,5,Health Sciences,3,2,10,178,,Emory Johns Creek Hospital:3;
15887,Eric B. Friedberg,6,Health Sciences,0,0,8,31,,
15888,Eric B. Haura,6,Health Sciences,0,0,2,0,,Moffitt Cancer Center:2;The Ohio State University:1;University of Pittsburgh:1;
15889,Eric C. Fitts,6,Health Sciences,0,0,7,23,,
15890,Eric C. Fitts,6,Life Sciences,0,0,3,2,,
15891,Eric C. Lawson,3,Health Sciences,1,0,1,0,,
15892,Eric C. Lawson,3,Life Sciences,1,0,1,72,,
15893,Eric C. Lawson,4,Health Sciences,0,0,1,12,,Atlanta VA Medical Center:1;Emory Eye Center:1;
15894,Eric C. Lawson,4,Life Sciences,1,0,1,29,,Atlanta VA Medical Center:1;
15895,Eric C. Lawson,5,Health Sciences,0,1,1,8,,Children's Healthcare of Atlanta:1;
15896,Eric C. Lawson,5,Life Sciences,0,0,1,0,,
15897,Eric C. Lawson,6,Health Sciences,1,0,5,5,,
15898,Eric C. Lawson,6,Life Sciences,1,1,1,0,,
15899,Eric C. Lawson,6,Physical Sciences,0,0,1,0,,
15900,Eric C. Lawson,6,Social Sciences,0,0,2,0,,
15901,Eric Caliendo,6,Health Sciences,1,1,1,0,,
15902,Eric Chou,6,Health Sciences,0,0,3,7,JP:1;,Showa University:1;
15903,Eric D. Hoffer,4,Life Sciences,1,0,4,154,,
15904,Eric D. Hoffer,5,Life Sciences,6,1,18,215,,
15905,Eric D. Hoffer,6,Life Sciences,0,0,4,26,,
15906,Eric D. McDonnell,6,Social Sciences,1,1,1,0,,
15907,Eric Dobbie,6,Social Sciences,0,0,1,2,,
15908,Eric Elder,0,Physical Sciences,0,0,1,2,,
15909,Eric Elder,1,Health Sciences,0,0,4,2,,
15910,Eric Elder,1,Physical Sciences,0,0,7,90,,
15911,Eric Elder,2,Health Sciences,1,0,3,73,,
15912,Eric Elder,2,Physical Sciences,1,1,8,199,,
15913,Eric Elder,3,Health Sciences,0,0,3,0,,
15914,Eric Elder,3,Life Sciences,0,0,1,28,,
15915,Eric Elder,3,Physical Sciences,0,0,4,46,,
15916,Eric Elder,4,Health Sciences,0,0,10,12,,
15917,Eric Elder,4,Physical Sciences,1,1,13,59,,
15918,Eric Elder,4,Social Sciences,0,0,1,1,,
15919,Eric Elder,5,Health Sciences,0,0,1,47,,
15920,Eric Elder,5,Physical Sciences,0,0,1,2,,
15921,Eric Elder,6,Health Sciences,0,0,2,1,,
15922,Eric Elder,6,Physical Sciences,0,0,1,11,,Georgia Institute of Technology:1;
15923,Eric Evans,5,Health Sciences,0,0,1,1,,
15924,Eric Evans,6,Life Sciences,0,0,1,0,,
15925,Eric F. Johnson,6,Life Sciences,0,0,1,3,,University of Arizona:1;
15926,Eric Ferguson,4,Health Sciences,0,0,1,20,,
15927,Eric Ferguson,5,Health Sciences,0,1,3,9,,Children's Healthcare of Atlanta:3;
15928,Eric Ferguson,6,Health Sciences,0,0,4,9,,Children's Healthcare of Atlanta:2;
15929,Eric H. Albanese,6,Life Sciences,0,0,2,8,,
15930,Eric H. Wang,6,Health Sciences,1,1,1,0,,
15931,Eric Heuer,2,Life Sciences,2,0,2,67,,
15932,Eric Heuer,3,Health Sciences,1,0,1,135,,
15933,Eric Heuer,3,Life Sciences,1,1,2,66,,
15934,Eric Heuer,4,Health Sciences,1,1,1,23,,
15935,Eric Heuer,6,Health Sciences,1,1,1,0,,Nationwide Children's Hospital:1;
15936,Eric Hoffman,6,Health Sciences,0,0,1,3,,Vanderbilt Health:1;
15937,Eric Hunter,0,Life Sciences,0,0,2,318,,
15938,Eric Hunter,1,Health Sciences,0,0,2,14,,
15939,Eric Hunter,1,Life Sciences,1,3,14,1397,BE:1;,Emory University Hospital:1;Gembloux Agro-Bio Tech:1;Harvard University:1;
15940,Eric Hunter,1,Physical Sciences,0,0,1,26,,
15941,Eric Hunter,2,Health Sciences,6,0,9,120,RW:1;,Rwanda Zambia HIV Research Group:1;
15942,Eric Hunter,2,Life Sciences,7,6,35,2208,,Emory and Henry College:1;
15943,Eric Hunter,2,Social Sciences,2,0,2,0,,
15944,Eric Hunter,3,Health Sciences,0,0,4,8,,
15945,Eric Hunter,3,Life Sciences,4,6,47,1265,,Emory Healthcare:1;
15946,Eric Hunter,3,Social Sciences,0,0,2,2,,
15947,Eric Hunter,4,Health Sciences,0,1,1,47,,
15948,Eric Hunter,4,Life Sciences,1,5,28,865,RW:1;,Rwanda Zambia HIV Research Group:1;
15949,Eric Hunter,5,Health Sciences,0,2,5,130,RW:2;,Rwanda Zambia HIV Research Group:2;
15950,Eric Hunter,5,Life Sciences,0,6,29,267,RW:2;ZM:1;,Golden Valley Agricultural Research Trust:1;Rwanda Zambia HIV Research Group:2;
15951,Eric Hunter,5,Social Sciences,0,0,1,13,RW:1;,Rwanda Zambia HIV Research Group:1;
15952,Eric Hunter,6,Health Sciences,0,0,3,6,RW:2;,Emory and Henry College:1;Rwanda Zambia HIV Research Group:2;
15953,Eric Hunter,6,Life Sciences,0,2,18,80,RW:1;,Emory and Henry College:1;Rwanda Zambia HIV Research Group:1;
15954,Eric I. Felner,0,Life Sciences,1,0,1,53,,
15955,Eric I. Felner,1,Health Sciences,1,0,3,37,,Children's Healthcare of Atlanta:1;
15956,Eric I. Felner,2,Health Sciences,2,1,2,15,,
15957,Eric I. Felner,2,Life Sciences,0,2,4,656,,Georgia Institute of Technology:1;
15958,Eric I. Felner,3,Health Sciences,0,0,2,46,,
15959,Eric I. Felner,3,Life Sciences,0,1,4,355,,Georgia Institute of Technology:1;
15960,Eric I. Felner,4,Health Sciences,0,0,1,22,,
15961,Eric I. Felner,4,Life Sciences,1,1,5,318,,
15962,Eric I. Felner,5,Health Sciences,0,0,2,53,,
15963,Eric I. Felner,5,Life Sciences,0,0,2,335,,
15964,Eric I. Felner,6,Health Sciences,0,1,4,71,,Children's Healthcare of Atlanta:1;
15965,Eric I. Felner,6,Life Sciences,0,0,6,28,,Federal Reserve:1;Georgia Institute of Technology:2;
15966,Eric J Miller,3,Life Sciences,0,0,2,77,,Georgetown University:1;
15967,Eric J Miller,4,Health Sciences,0,0,1,16,,
15968,Eric J Miller,4,Life Sciences,1,0,3,54,,Georgetown University:1;
15969,Eric J Miller,5,Health Sciences,1,0,5,106,,
15970,Eric J Miller,6,Health Sciences,1,2,5,18,,Icahn School of Medicine at Mount Sinai:1;
15971,Eric J Miller,6,Life Sciences,0,1,1,1,,
15972,Eric J. Nehl,2,Health Sciences,1,0,7,195,,University of Pennsylvania:1;
15973,Eric J. Nehl,2,Social Sciences,1,0,3,107,,
15974,Eric J. Nehl,3,Health Sciences,2,2,16,337,,The University of Texas MD Anderson Cancer Center:1;
15975,Eric J. Nehl,3,Social Sciences,1,1,7,157,,
15976,Eric J. Nehl,4,Health Sciences,3,2,6,71,,
15977,Eric J. Nehl,4,Physical Sciences,0,0,1,9,,
15978,Eric J. Nehl,4,Social Sciences,0,0,1,18,,
15979,Eric J. Nehl,5,Health Sciences,0,0,14,118,,
15980,Eric J. Nehl,5,Life Sciences,0,0,1,11,,
15981,Eric J. Nehl,5,Social Sciences,0,0,5,32,,
15982,Eric J. Nehl,6,Health Sciences,0,0,11,27,,Rollins College:1;
15983,Eric J. Nehl,6,Physical Sciences,1,0,4,17,,
15984,Eric J. Nehl,6,Social Sciences,0,0,5,22,,Jacobson Holman (United States):1;
15985,Eric J. Silberfein,5,Health Sciences,0,0,2,0,,Baylor College of Medicine:4;The University of Texas Southwestern Medical Center:1;
15986,Eric J. Silberfein,5,Social Sciences,0,0,1,0,,The University of Texas Southwestern Medical Center:1;
15987,Eric J. Silberfein,6,Social Sciences,0,0,1,0,,
15988,Eric J. Sorscher,4,Health Sciences,0,6,8,682,,Children's Healthcare of Atlanta:1;University of Alabama:1;
15989,Eric J. Sorscher,4,Life Sciences,0,1,2,57,,
15990,Eric J. Sorscher,5,Health Sciences,0,2,14,895,,Children's Healthcare of Atlanta:2;University of Alabama at Birmingham:2;
15991,Eric J. Sorscher,5,Life Sciences,0,1,3,21,,Children's Healthcare of Atlanta:1;
15992,Eric J. Sorscher,6,Health Sciences,0,3,21,294,,Children's Center:1;Children's Healthcare of Atlanta:1;
15993,Eric J. Sorscher,6,Life Sciences,0,3,10,172,,Children's Healthcare of Atlanta:1;
15994,Eric J. Sundberg,5,Health Sciences,0,0,2,0,,"University of Maryland, Baltimore:2;"
15995,Eric J. Sundberg,5,Life Sciences,0,0,1,0,,
15996,Eric J. Sundberg,6,Health Sciences,0,2,8,21,,"University of Maryland, Baltimore:1;"
15997,Eric J. Sundberg,6,Life Sciences,0,9,20,168,,"University of Maryland, Baltimore:2;"
15998,Eric Kim,6,Health Sciences,2,0,2,4,,Harvard University:1;Massachusetts General Hospital:1;
15999,Eric L Whitton,6,Health Sciences,0,0,1,0,,
16000,Eric Leiendecker,6,Health Sciences,1,0,1,0,,
16001,Eric Leiendecker,6,Physical Sciences,0,0,2,0,,
16002,Eric M. Galante,6,Health Sciences,0,0,1,2,,
16003,Eric M. Galante,6,Social Sciences,0,1,1,7,,
16004,Eric M. Knauer,6,Health Sciences,1,1,3,20,,
16005,Eric M. Knauer,6,Social Sciences,0,1,1,0,,
16006,Eric Maltbie,3,Life Sciences,0,0,1,22,,
16007,Eric Maltbie,4,Health Sciences,1,0,1,14,,
16008,Eric Maltbie,4,Life Sciences,1,1,3,60,,
16009,Eric Maltbie,5,Health Sciences,1,0,1,5,,
16010,Eric Maltbie,5,Life Sciences,1,0,3,27,,Georgia Institute of Technology:1;
16011,Eric Maltbie,6,Life Sciences,0,0,5,38,,Georgia Institute of Technology:4;
16012,Eric McDade,6,Health Sciences,0,0,2,0,,Washington University in St. Louis:10;
16013,Eric Midenberg,6,Health Sciences,4,2,17,43,,University of Louisville:7;
16014,Eric Midenberg,6,Life Sciences,1,0,2,2,,
16015,Eric N. Miller,3,Health Sciences,0,0,2,74,,
16016,Eric N. Miller,6,Health Sciences,0,0,1,0,,University of Pittsburgh Medical Center:1;
16017,Eric Nomura,6,Health Sciences,0,0,1,0,,Oregon Health & Science University:2;
16018,Eric Qian,6,Health Sciences,0,0,1,0,,
16019,Eric R. Cole,5,Health Sciences,0,0,2,0,,
16020,Eric R. Cole,6,Health Sciences,2,0,5,2,,The Wallace H. Coulter Department of Biomedical Engineering:5;
16021,Eric R. Cole,6,Life Sciences,3,0,8,16,,Georgia Institute of Technology:4;The Wallace H. Coulter Department of Biomedical Engineering:2;
16022,Eric R. Cole,6,Physical Sciences,0,0,2,9,,The Wallace H. Coulter Department of Biomedical Engineering:1;
16023,Eric R. Gann,6,Health Sciences,0,0,1,0,,
16024,Eric R. Midenberg,6,Social Sciences,1,0,1,0,,
16025,Eric R. Varner,1,Social Sciences,1,1,1,23,,
16026,Eric R. Varner,5,Social Sciences,1,1,1,34,,
16027,Eric R. Varner,6,Social Sciences,1,1,1,0,,
16028,Eric R. Wagner,5,Health Sciences,15,10,44,1150,,Cleveland Shoulder Institute:1;Emory University Hospital:3;Emory University Orthopaedics and Spine Hospital:1;
16029,Eric R. Wagner,5,Life Sciences,0,0,1,8,,
16030,Eric R. Wagner,5,Physical Sciences,0,1,1,62,,
16031,Eric R. Wagner,6,Health Sciences,9,14,64,422,,Mayo Clinic:1;Zimmer Biomet (United States):1;
16032,Eric R. Weeks,0,Physical Sciences,0,0,5,430,,University of Illinois Urbana-Champaign:1;University of Illinois at Chicago:1;
16033,Eric R. Weeks,1,Life Sciences,0,0,1,42,,
16034,Eric R. Weeks,1,Physical Sciences,1,3,15,891,DE:1;,University of Bayreuth:1;
16035,Eric R. Weeks,2,Physical Sciences,2,2,15,825,,
16036,Eric R. Weeks,3,Physical Sciences,1,2,12,1337,,
16037,Eric R. Weeks,4,Life Sciences,0,0,3,250,,
16038,Eric R. Weeks,4,Physical Sciences,2,4,16,486,,
16039,Eric R. Weeks,5,Life Sciences,0,0,2,61,,
16040,Eric R. Weeks,5,Physical Sciences,1,1,7,168,,
16041,Eric R. Weeks,6,Physical Sciences,0,2,20,66,BR:1;,Universidade Federal de Itajubá:1;
16042,Eric Reinhardt,0,Social Sciences,0,0,1,37,,
16043,Eric Reinhardt,1,Health Sciences,2,0,2,0,,
16044,Eric Reinhardt,1,Life Sciences,4,0,4,0,,
16045,Eric Reinhardt,1,Physical Sciences,10,3,10,0,,
16046,Eric Reinhardt,1,Social Sciences,58,17,62,520,,
16047,Eric Reinhardt,2,Social Sciences,0,0,2,136,,
16048,Eric Reinhardt,3,Social Sciences,0,0,1,12,,
16049,Eric Reinhardt,6,Social Sciences,0,0,1,1,,
16050,Eric S. Dilbone,6,Health Sciences,0,0,1,3,,
16051,Eric S. Rosenthal,6,Life Sciences,0,0,1,7,,Massachusetts General Hospital:1;William S. Middleton Memorial Veterans Hospital:1;
16052,Eric T. Park,5,Health Sciences,0,0,1,14,,
16053,Eric T. Park,6,Health Sciences,0,1,4,8,,Florida State University:3;
16054,Eric Urquizo-Rodríguez,6,Social Sciences,0,0,1,0,FR:1;,Centre de Référence Déficits Immunitaires Héréditaires:1;
16055,Eric V. Lonsdorf,6,Life Sciences,2,1,4,5,,University of Minnesota:1;
16056,Eric V. Lonsdorf,6,Physical Sciences,2,2,7,5,,
16057,Eric V. Lonsdorf,6,Social Sciences,0,0,1,0,,
16058,Eric Verner,5,Life Sciences,0,0,1,6,,Center for Translational Research in Neuroimaging and Data Science:1;
16059,Eric Verner,5,Physical Sciences,0,0,1,12,,Georgia State University:1;
16060,Eric Verner,6,Health Sciences,0,0,1,2,,Center for Translational Research in Neuroimaging and Data Science:1;
16061,Eric Verner,6,Life Sciences,1,1,7,40,,Center for Translational Research in Neuroimaging and Data Science:6;
16062,Eric Verner,6,Physical Sciences,0,0,1,8,,Center for Translational Research in Neuroimaging and Data Science:1;
16063,Eric W. Hall,4,Health Sciences,4,6,8,170,,
16064,Eric W. Hall,4,Life Sciences,0,0,1,8,,
16065,Eric W. Hall,5,Health Sciences,8,6,23,1420,,
16066,Eric W. Hall,5,Social Sciences,0,0,3,104,,
16067,Eric W. Hall,6,Health Sciences,3,5,13,140,,Oregon Health & Science University:4;Portland State University:1;
16068,Eric W. Hall,6,Physical Sciences,0,0,1,5,,Oregon Health & Science University:4;
16069,Eric W. Hall,6,Social Sciences,0,0,1,82,,
16070,Eric W. Lee,5,Physical Sciences,2,0,4,10,,
16071,Eric W. Lee,6,Health Sciences,0,0,1,0,,Creative Commons:1;
16072,Eric W. Lee,6,Life Sciences,3,0,3,0,,
16073,Eric W. Lee,6,Physical Sciences,4,1,5,9,,
16074,Eric W. Price,4,Health Sciences,0,0,1,2,,
16075,Eric W. Price,5,Health Sciences,0,0,1,5,,
16076,Eric W. Price,6,Health Sciences,0,0,3,1,,Children's Healthcare of Atlanta:1;
16077,Eric W. Ziegler,6,Physical Sciences,0,0,1,2,IN:1;,Govind Ballabh Pant University of Agriculture and Technology:1;
16078,Eric Walton,6,Health Sciences,3,1,4,8,,
16079,Eric Wang,6,Social Sciences,0,0,2,0,,
16080,Eric Xu,6,Health Sciences,1,0,1,0,,
16081,Eric Yoon,5,Health Sciences,0,0,2,14,,
16082,Eric Yoon,6,Health Sciences,0,0,2,14,,
16083,Erica A. Samuel,6,Health Sciences,0,0,1,0,,
16084,Erica Andrews McArthur,6,Health Sciences,1,1,1,0,,Children's Healthcare of Atlanta:1;
16085,Erica Britt,6,Social Sciences,1,1,1,0,,
16086,Erica D. Marshall-Lee,2,Social Sciences,0,0,1,1,,
16087,Erica D. Marshall-Lee,5,Social Sciences,0,0,1,23,,
16088,Erica D. Marshall-Lee,6,Health Sciences,0,0,1,6,,
16089,Erica D. Marshall-Lee,6,Social Sciences,1,0,4,5,,
16090,Erica Davis,2,Health Sciences,0,0,2,117,,"University of California, San Francisco:1;"
16091,Erica Davis,4,Health Sciences,0,0,1,4,,Emory University Orthopaedics and Spine Hospital:1;
16092,Erica Davis,5,Health Sciences,2,0,3,7,,Emory University Orthopaedics and Spine Hospital:1;
16093,Erica Davis,6,Health Sciences,4,2,6,2,,Creative Commons:1;
16094,Erica Duncan,0,Health Sciences,2,1,3,227,,Veterans Health Administration:1;
16095,Erica Duncan,0,Life Sciences,1,0,2,184,,Center for Neurosciences:1;
16096,Erica Duncan,1,Health Sciences,2,1,2,26,,
16097,Erica Duncan,1,Life Sciences,1,0,4,348,,Veterans Health Administration:1;
16098,Erica Duncan,2,Health Sciences,0,0,3,31,,Atlanta VA Medical Center:1;Veterans Health Administration:1;
16099,Erica Duncan,2,Life Sciences,0,0,4,240,,Atlanta VA Medical Center:1;
16100,Erica Duncan,2,Social Sciences,0,0,2,519,,Atlanta VA Medical Center:1;
16101,Erica Duncan,3,Health Sciences,0,0,2,8,,United States Department of Veterans Affairs:1;
16102,Erica Duncan,3,Life Sciences,0,0,2,572,,Atlanta VA Medical Center:2;
16103,Erica Duncan,3,Social Sciences,0,0,1,51,,Atlanta VA Medical Center:1;
16104,Erica Duncan,4,Health Sciences,0,1,3,16,,
16105,Erica Duncan,4,Life Sciences,0,1,8,75,,Veterans Health Administration:2;
16106,Erica Duncan,4,Social Sciences,0,0,1,89,,Veterans Health Administration:1;
16107,Erica Duncan,5,Health Sciences,0,3,8,129,,Veterans Health Administration:4;
16108,Erica Duncan,5,Life Sciences,1,2,16,106,,Atlanta Medical Center:1;Atlanta VA Health Care System:2;Atlanta VA Medical Center:1;
16109,Erica Duncan,5,Physical Sciences,0,0,1,1,,
16110,Erica Duncan,5,Social Sciences,0,0,2,14,,Veterans Health Administration:1;
16111,Erica Duncan,6,Life Sciences,1,1,17,53,,Atlanta VA Health Care System:10;Veterans Health Administration:1;
16112,Erica Duncan,6,Social Sciences,0,0,2,7,,Atlanta VA Health Care System:1;
16113,Erica E. Davis,6,Health Sciences,1,0,1,0,,
16114,Erica Evans,6,Health Sciences,0,0,1,0,,
16115,Erica Giraldi,5,Health Sciences,1,0,1,24,,
16116,Erica Giraldi,6,Health Sciences,6,1,7,21,,
16117,Erica Harris,6,Health Sciences,0,0,1,0,,Einstein Medical Center Philadelphia:2;Thomas Jefferson University:1;
16118,Erica Harris,6,Life Sciences,0,0,1,0,,Einstein Medical Center Philadelphia:3;
16119,Erica Heiman,5,Health Sciences,0,0,1,0,VN:1;,General Department of Preventive Medicine:1;
16120,Erica Heiman,5,Social Sciences,0,0,2,9,,
16121,Erica Heiman,6,Health Sciences,1,0,1,0,,Georgia State University:1;Yale University:1;
16122,Erica Hsu,6,Health Sciences,0,0,2,1,,
16123,Erica J Han,6,Health Sciences,0,0,1,4,,
16124,Erica Kocher,6,Social Sciences,0,1,1,0,,
16125,Erica L. Riedesel,5,Health Sciences,2,0,2,29,,Children's Healthcare of Atlanta:1;Emory and Henry College:1;
16126,Erica L. Riedesel,6,Health Sciences,3,1,14,39,,Children's Healthcare of Atlanta:10;
16127,Erica L. Riedesel,6,Life Sciences,0,0,2,5,,Children's Healthcare of Atlanta:2;
16128,Erica L. Riedesel,6,Social Sciences,0,0,1,0,,University of Puget Sound:1;
16129,Erica L. Smearman,6,Life Sciences,0,0,1,9,,
16130,Erica Landis,4,Health Sciences,0,0,9,8,,Atlanta VA Medical Center:2;
16131,Erica Landis,4,Life Sciences,3,0,6,56,,Atlanta VA Health Care System:1;Atlanta VA Medical Center:1;
16132,Erica Landis,5,Health Sciences,2,0,7,173,,Atlanta VA Health Care System:2;
16133,Erica Landis,5,Life Sciences,1,0,2,50,,Atlanta VA Health Care System:1;
16134,Erica Landis,6,Health Sciences,1,0,1,45,,
16135,Erica Landis,6,Life Sciences,0,0,1,36,,
16136,Erica Lee,6,Health Sciences,0,0,1,0,,Columbia University:1;
16137,Erica Ludi,3,Health Sciences,0,1,1,1,,
16138,Erica Ludi,4,Health Sciences,1,0,2,31,,
16139,Erica Ludi,4,Social Sciences,0,0,1,25,,
16140,Erica Ludi,5,Life Sciences,1,0,1,0,,
16141,Erica Ludi,5,Social Sciences,1,0,1,0,,
16142,Erica Ludi,6,Health Sciences,0,0,4,7,,
16143,Erica Marshall Lee,6,Social Sciences,0,0,1,0,,
16144,Erica Modeste,5,Health Sciences,0,0,3,79,,
16145,Erica Modeste,5,Physical Sciences,1,1,1,0,,
16146,Erica Modeste,6,Health Sciences,2,0,7,105,,
16147,Erica Modeste,6,Life Sciences,0,0,1,86,,
16148,Erica Modeste,6,Physical Sciences,0,0,1,0,,
16149,Erica Modeste,6,Social Sciences,0,0,1,0,,
16150,Erica Moore,6,Health Sciences,0,0,3,2,,Barry University:1;
16151,Erica Moore,6,Social Sciences,0,0,2,0,,
16152,Erica Mumm,6,Health Sciences,0,0,2,40,,Atlanta Research and Education Foundation:1;Georgia Department of Public Health:1;Minnesota Department of Health:3;
16153,Erica N Evans,6,Health Sciences,2,0,6,1,,Center for Cancer and Blood Disorders:1;Children's Healthcare of Atlanta:4;
16154,Erica N Evans,6,Physical Sciences,0,0,1,3,,Children's Healthcare of Atlanta:1;
16155,Erica S. Tarabadkar,5,Health Sciences,0,0,1,0,,
16156,Erica S. Tarabadkar,6,Health Sciences,1,0,13,75,,Piedmont Cancer Institute:2;University of Washington:1;
16157,Erica Schuyler,5,Health Sciences,0,0,1,16,,University of Michigan–Ann Arbor:1;
16158,Erica Schuyler,6,Health Sciences,0,0,1,2,,Hartford Hospital:1;University of Virginia:1;
16159,Erica Schuyler,6,Social Sciences,0,0,1,5,,American Academy of Neurology:1;
16160,Erica Shelton,6,Social Sciences,0,0,1,1,,Johns Hopkins Medicine:1;
16161,Erica Smearman,3,Health Sciences,0,0,3,48,,
16162,Erica Smearman,3,Social Sciences,1,0,1,53,,
16163,Erica Smearman,4,Life Sciences,0,0,1,38,,
16164,Erica Smearman,4,Social Sciences,2,2,4,180,,
16165,Erica Smearman,5,Life Sciences,1,0,1,10,,
16166,Erica Smearman,6,Health Sciences,2,1,4,6,,
16167,Erica Swinney,6,Health Sciences,0,0,1,1,,
16168,Erica V. Carballo,6,Health Sciences,1,1,2,8,,Vanderbilt University:1;Vanderbilt University Medical Center:1;
16169,Erica Werner,0,Health Sciences,1,1,3,191,,
16170,Erica Werner,0,Life Sciences,2,2,4,228,,
16171,Erica Werner,1,Health Sciences,0,0,1,34,,
16172,Erica Werner,1,Life Sciences,2,2,2,92,,
16173,Erica Werner,2,Life Sciences,0,1,2,44,,
16174,Erica Werner,3,Life Sciences,2,1,4,202,FR:2;,Laboratoire de Biochimie:2;
16175,Erica Werner,4,Health Sciences,1,0,6,239,,
16176,Erica Werner,4,Life Sciences,1,0,3,204,,
16177,Erica Werner,5,Health Sciences,0,0,2,36,,
16178,Erica Werner,5,Life Sciences,1,3,8,109,,Molecular Oncology (United States):1;
16179,Erica Werner,6,Health Sciences,2,2,5,17,,
16180,Erica Werner,6,Life Sciences,0,0,8,25,UA:1;,Institute of Cell Biology:1;
16181,Erick Andres Perez Alday,5,Health Sciences,3,0,4,364,,Oregon Health & Science University:1;
16182,Erick Andres Perez Alday,6,Health Sciences,3,3,18,226,,
16183,Erick Andres Perez Alday,6,Physical Sciences,0,0,1,0,,
16184,Erick Ojeda,6,Health Sciences,0,0,1,5,,
16185,Erik A. Brownsword,5,Health Sciences,0,0,2,69,,
16186,Erik A. Brownsword,6,Health Sciences,0,0,5,37,,
16187,Erik A. Brownsword,6,Physical Sciences,0,0,1,9,,
16188,Erik B. Gerlach,6,Health Sciences,0,1,1,1,,
16189,Erik C. B. Johnson,5,Health Sciences,4,3,13,1059,,
16190,Erik C. B. Johnson,5,Life Sciences,1,1,1,176,,
16191,Erik C. B. Johnson,5,Physical Sciences,1,1,2,12,,
16192,Erik C. B. Johnson,6,Health Sciences,4,6,34,540,ES:1;,Emory and Henry College:1;Fundació ACE:1;
16193,Erik C. B. Johnson,6,Life Sciences,0,0,3,108,,
16194,Erik C. Dreaden,5,Health Sciences,0,0,4,14,,Children's Healthcare of Atlanta:1;Georgia Institute of Technology:1;The Wallace H. Coulter Department of Biomedical Engineering:2;
16195,Erik C. Dreaden,5,Life Sciences,1,0,2,0,,
16196,Erik C. Dreaden,5,Physical Sciences,0,2,2,7,,The Wallace H. Coulter Department of Biomedical Engineering:2;
16197,Erik C. Dreaden,6,Health Sciences,0,2,5,17,,Children's Healthcare of Atlanta:1;Emory and Henry College:1;Georgia Institute of Technology:1;
16198,Erik C. Dreaden,6,Life Sciences,0,2,5,26,,Children's Healthcare of Atlanta:1;Georgia Institute of Technology:2;The Wallace H. Coulter Department of Biomedical Engineering:2;
16199,Erik C. Dreaden,6,Physical Sciences,0,1,2,1,,Georgia Institute of Technology:1;
16200,Erik D. Roberson,6,Health Sciences,0,0,1,0,,University of Alabama at Birmingham:7;
16201,Erik De Clercq,6,Health Sciences,0,0,1,0,IT:1;,University of Chieti-Pescara:1;
16202,Erik E. Langenau,6,Social Sciences,0,0,1,3,,Philadelphia College of Osteopathic Medicine:1;
16203,Erik H. Klontz,6,Life Sciences,0,0,1,0,,"University of Maryland, Baltimore:7;"
16204,Erik J. Ringen,5,Social Sciences,1,1,4,110,,"University of California, San Diego:1;Yale University:1;"
16205,Erik J. Ringen,6,Social Sciences,0,1,8,54,CH:2;,University of Zurich:2;
16206,Erik Kaestner,6,Health Sciences,1,0,1,3,GB:1;,"University of California System:1;University of California, San Diego:5;University of Liverpool:1;"
16207,Erik Kaestner,6,Life Sciences,0,0,1,0,,"Children's Healthcare of Atlanta:1;University of California, San Diego:1;"
16208,Erik Knauer,6,Health Sciences,0,0,1,0,,
16209,Erik Michelfelder,4,Health Sciences,1,1,3,61,,Children's Healthcare of Atlanta:3;Cincinnati Children's Hospital Medical Center:1;
16210,Erik Michelfelder,5,Health Sciences,0,1,2,28,,
16211,Erik Michelfelder,6,Health Sciences,0,1,16,120,,Children's Healthcare of Atlanta:6;
16212,Erik N. K. Iverson,6,Life Sciences,0,0,1,3,,The University of Texas at Austin:1;
16213,Erika Choi,6,Health Sciences,1,0,1,0,,
16214,Erika Díaz-Almeyda,4,Physical Sciences,1,1,3,63,,Pennsylvania State University:1;
16215,Erika Díaz-Almeyda,5,Life Sciences,0,0,1,0,,New College of Florida:1;
16216,Erika Díaz-Almeyda,5,Physical Sciences,0,0,1,30,,
16217,Erika Díaz-Almeyda,6,Life Sciences,0,0,1,0,,
16218,Erika E. Csatary,5,Health Sciences,0,0,2,161,,
